-1.923875577880588992e+02,2.810252597927911467e+01
-1.790706660224569475e+02,3.328450431087222228e+01
-1.626284318157108260e+02,2.654687023310815164e+01
-1.405334990471907588e+02,2.115984515657100928e+01
-1.185465602189567846e+02,1.616188805075435653e+01
-9.694952504492079015e+01,1.155736036223268037e+01
-7.549008001497064413e+01,7.312765474208810623e+00
-5.401983070290051359e+01,3.427939629892258644e+00
-3.251455268312047053e+01,-8.541349820089112754e-02
-1.097365520458366817e+01,-3.229887412428639859e+00
1.059346501138426078e+01,-6.024998575866875150e+00
3.217369073405742341e+01,-8.500674769652084350e+00
5.375007805501129354e+01,-1.068651011942083073e+01
7.530388683069696754e+01,-1.261644225719001078e+01
9.681111668666120806e+01,-1.432710097197014498e+01
1.182381187979449635e+02,-1.585866413162294464e+01
1.395262243195704457e+02,-1.725998272126781075e+01
1.605071683301297298e+02,-1.856674996164317903e+01
1.800118809540755933e+02,-1.973284787666516493e+01
1.961987288233386550e+02,-2.066442690098997303e+01
